question_id,tag_id
4602881,NA
4319,NA
3345126,102
790250,104
2814765,NA
3149548,"2,102"
4303298,NA
265969,NA
265970,"104,105"
357841,104
266062,104
3602865,104
2261341,NA
2363135,NA
265984,NA
3118069,NA
267314,NA
2396432,NA
3149592,104
3337158,102
1385526,NA
2363164,NA
2347616,NA
3118080,NA
790307,NA
635897,NA
4018808,102
4495454,NA
957952,"2,104"
4658743,NA
963385,NA
2322305,NA
1601805,NA
528186,105
337944,NA
3118096,NA
790338,NA
4018835,102
1951458,NA
1210535,"2,102"
2318608,104
4018595,102
3111757,104
960946,NA
3115358,NA
829909,NA
3737610,NA
2731815,NA
1800781,2
872827,NA
2363223,NA
4256203,NA
4018609,102
4018861,102
3118109,NA
2363230,105
676931,NA
4018641,102
3115367,NA
3149676,104
576631,NA
4018649,102
960950,NA
4018707,102
3665910,104
3115378,NA
286232,NA
869615,102
1002849,NA
2363263,105
4018715,102
3118123,NA
790401,105
4792698,NA
4018783,102
266128,NA
368626,NA
2572518,2
1793104,NA
5073111,NA
5114384,NA
4018891,102
528280,NA
4018801,102
790436,104
4352125,NA
1462533,NA
224978,NA
225004,104
4958491,NA
2625453,NA
1897230,NA
994263,105
1984413,NA
2788415,NA
3149742,"2,104"
2101172,NA
3882533,NA
4256294,NA
4018827,102
2316141,NA
4856593,NA
3115392,NA
558136,NA
4018903,102
2798112,NA
3381426,NA
995264,NA
868227,NA
816977,NA
999671,102
2631061,2
2137611,NA
2935560,NA
2101208,4
4856533,NA
651232,NA
3115417,NA
2403701,NA
4962508,NA
3674104,4
885753,NA
3519202,2
3115447,NA
3221679,"2,104"
4018916,102
3531655,NA
3115455,NA
1797716,NA
528393,NA
238674,NA
5246994,NA
289727,NA
2535750,104
948208,NA
266271,105
5121154,NA
4018951,102
2887721,104
622396,NA
2756959,NA
860824,NA
603417,NA
1451541,NA
331106,"104,105"
2892458,105
4012732,NA
686385,NA
2959940,104
2283499,104
2150414,4
4796664,NA
1509577,NA
1708202,4
1839190,NA
1216324,"2,102"
281402,NA
1099977,NA
4869506,NA
4018947,102
2294470,NA
2887768,NA
222371,NA
4018958,102
1577086,105
1239905,104
2034351,NA
285671,104
3149969,"2,104"
4016311,108
880818,"2,102"
640130,NA
4849649,NA
963541,NA
1003677,NA
2887828,104
4657680,NA
2875451,NA
3149977,"2,104"
1601655,NA
592870,NA
4018980,102
3268404,NA
559362,104
2916847,NA
4722861,NA
4269609,NA
4985398,NA
2345552,NA
2413504,NA
4281,NA
873338,"102,104"
522604,2
287607,105
4018854,102
3150037,"2,104"
934850,NA
3150058,"2,104"
376237,NA
442701,104
2067594,NA
344254,NA
2285963,NA
376322,105
2345645,NA
1097103,NA
4925613,NA
1467046,105
1839365,NA
2997860,104
1336245,NA
692072,NA
4371,NA
4018878,102
2627890,NA
286135,NA
288089,105
367035,104
3264968,NA
4842703,NA
853473,NA
4303971,NA
842272,105
4320601,NA
1810024,NA
4256824,NA
4018884,102
4388,NA
4450556,NA
806424,NA
331028,104
4543161,NA
2316798,NA
1408550,NA
1182359,NA
1230018,105
3150135,104
5077728,NA
804304,104
2576409,4
349487,104
2657369,NA
873285,102
611389,NA
4948116,NA
4418,NA
790851,NA
1639200,NA
4465004,NA
1156412,NA
2049624,"2,102"
1004979,NA
2396268,NA
2428992,NA
4432,NA
2401129,NA
3283694,NA
1004038,NA
4018895,102
370051,NA
4443,NA
2414598,104
5215073,NA
3150174,104
4467,NA
2585834,NA
2316935,NA
874681,NA
1097231,NA
5289525,NA
3150215,104
1021778,NA
3388120,104
266642,NA
2916862,NA
4018900,102
3150243,"2,104"
1223764,NA
1053091,NA
869905,102
4075050,NA
2795088,NA
3106659,NA
266665,NA
4018924,102
2294510,NA
3150253,104
530719,104
4018942,102
24111,NA
4985401,NA
1854872,104
868564,NA
1000519,102
874764,NA
357198,104
460056,104
563927,104
266702,104
2101711,NA
2027627,104
528859,NA
956075,NA
3150301,"2,104"
1006320,NA
797152,NA
266872,NA
351176,NA
711969,104
2088155,104
2888183,NA
3028323,NA
266874,NA
3010671,"2,104"
3150335,NA
2206116,NA
2497670,NA
2001851,NA
2888192,NA
1032407,NA
2127817,105
289325,104
2101774,4
327256,NA
4554495,NA
682360,NA
4566779,NA
381951,NA
868178,NA
3792045,NA
523385,NA
286799,104
1002913,2
354633,104
2181599,NA
286577,104
354634,104
4860637,NA
2181605,NA
4754465,NA
2181614,NA
4849843,NA
1488712,NA
2916050,104
135116,NA
391073,104
2455009,NA
419998,105
881058,NA
426012,NA
3950476,NA
528933,104
818041,NA
572044,105
420061,104
2831890,NA
3885964,NA
565634,NA
3150379,104
567135,"4,104"
266794,104
999808,NA
266799,NA
3222036,"2,102"
873872,102
4855694,NA
550364,NA
349504,104
2863571,NA
4798499,NA
3040851,104
2403753,NA
267548,104
267929,NA
611989,NA
924582,NA
268636,105
3892443,NA
269520,104
5071135,NA
2391011,NA
4893538,NA
269537,105
267205,105
333750,104
269709,104
269979,104
4853623,NA
270263,105
4147365,NA
270996,NA
637777,NA
874706,102
2009942,NA
2101859,4
2559616,NA
1577574,NA
232904,NA
2893305,NA
2888296,NA
4420752,NA
266887,104
3838252,104
2101914,NA
4714357,NA
3674789,"4,104"
3688737,NA
669359,NA
4234897,NA
2143983,NA
2062114,NA
2144114,NA
270765,NA
266965,NA
2820042,NA
2768546,NA
4723447,NA
3674898,NA
278932,104
4428483,NA
529196,104
5122501,NA
5171475,NA
3274277,NA
2085464,NA
2626356,4
3274305,NA
875570,NA
635723,NA
3937096,104
4782812,NA
4782829,NA
2102113,4
524080,NA
791399,2
2102120,4
5204123,NA
3850862,NA
1160427,NA
2485120,NA
1005136,"2,102"
2626416,NA
2888564,NA
2102134,NA
589277,NA
267131,NA
999891,NA
267134,NA
791425,NA
956079,NA
3275448,NA
4782926,NA
267158,NA
4157575,NA
2102174,4
362525,104
2926569,NA
4915793,NA
267183,"2,104"
945224,NA
4105812,NA
3118453,NA
2568392,104
791493,NA
418253,104
224397,NA
2888666,104
529371,NA
3150814,104
135495,105
3150831,104
240703,NA
1840112,NA
3239808,"2,102"
1577971,105
2683648,NA
2433722,105
2531259,NA
220689,NA
360733,104
267269,NA
3150854,104
220587,NA
935526,NA
830503,NA
3495386,104
3122252,NA
3227113,"2,102"
3970993,NA
355778,104
4085943,102
2667575,105
3227419,"2,102"
5066578,NA
1003077,NA
2969638,NA
3173343,NA
2872159,NA
2626602,4
3121769,NA
4468111,NA
3221278,"2,102"
3820330,NA
529463,NA
3222933,"2,102"
1002890,NA
556015,NA
4815475,NA
929589,NA
3221286,"2,102"
3028809,NA
3121791,NA
4468115,NA
3413061,104
3150921,NA
3227148,"2,102,104"
1898074,NA
3413074,104
941439,NA
3121900,NA
3221302,"2,102,104"
229751,NA
1141152,NA
522653,104
524188,NA
3221305,"2,102"
3121911,NA
693076,NA
3150944,104
3413090,104
1931209,NA
2888811,104
267371,NA
1193528,NA
1849162,105
558691,NA
3139185,NA
267375,NA
535673,NA
524202,NA
2822427,NA
399079,NA
4924056,NA
4104731,102
268885,NA
3122052,NA
877425,NA
4714217,NA
529542,105
877441,NA
3150995,104
3122079,NA
4863322,NA
4259797,NA
344163,NA
877506,NA
4328931,NA
4121824,NA
4028121,104
3875201,NA
